2026-05-06 11:44:05,bitcoin,81536,0.78
2026-05-06 11:44:05,ethereum,2375.05,-0.41
2026-05-06 11:44:05,solana,87.27,2.88
2026-05-06 11:44:05,binancecoin,634.26,1.1
2026-05-06 11:44:05,dogecoin,0.115652,3.65
2026-05-06 11:45:06,bitcoin,81524,0.8
2026-05-06 11:45:06,ethereum,2375.18,-0.31
2026-05-06 11:45:06,solana,87.26,2.93
2026-05-06 11:45:06,binancecoin,634.18,1.09
2026-05-06 11:45:06,dogecoin,0.115696,3.68
2026-05-06 11:46:07,bitcoin,81532,0.81
2026-05-06 11:46:07,ethereum,2375.69,-0.29
2026-05-06 11:46:07,solana,87.27,2.94
2026-05-06 11:46:07,binancecoin,634.01,1.07
2026-05-06 11:46:07,dogecoin,0.115703,3.69
2026-05-06 11:47:08,bitcoin,81520,0.8
2026-05-06 11:47:08,ethereum,2375.33,-0.3
2026-05-06 11:47:08,solana,87.27,2.94
2026-05-06 11:47:08,binancecoin,634.04,1.07
2026-05-06 11:47:08,dogecoin,0.115684,3.67
2026-05-06 11:48:09,bitcoin,81499,0.77
2026-05-06 11:48:09,ethereum,2374.69,-0.33
2026-05-06 11:48:09,solana,87.26,2.93
2026-05-06 11:48:09,binancecoin,633.88,1.05
2026-05-06 11:48:09,dogecoin,0.115659,3.65
2026-05-06 11:49:10,bitcoin,81519,0.8
2026-05-06 11:49:10,ethereum,2375.07,-0.31
2026-05-06 11:49:10,solana,87.26,2.93
2026-05-06 11:49:10,binancecoin,633.96,1.06
2026-05-06 11:49:10,dogecoin,0.115645,3.64
2026-05-06 11:50:11,bitcoin,81527,0.83
2026-05-06 11:50:11,ethereum,2375.38,-0.26
2026-05-06 11:50:11,solana,87.26,2.96
2026-05-06 11:50:11,binancecoin,634.02,1.08
2026-05-06 11:50:11,dogecoin,0.11564,3.63
